city_id,city_name,latitude,longitude,min_visits
1,北京,39.9042,116.4074,1
2,上海,31.2304,121.4737,1
3,广州,23.1291,113.2644,1
4,深圳,22.5431,114.0579,1
5,成都,30.5728,104.0668,1
6,杭州,30.2741,120.1551,1
7,武汉,30.5928,114.3055,1
8,西安,34.3416,108.9398,1
9,重庆,29.4316,106.9123,1
10,南京,32.0603,118.7969,1
11,天津,39.0842,117.2009,1
12,苏州,31.2989,120.5853,1
13,郑州,34.7466,113.6253,1
14,长沙,28.2278,112.9388,1
15,沈阳,41.8057,123.4315,1
16,青岛,36.0611,120.3826,1
17,宁波,29.8683,121.5440,1
18,东莞,23.0475,113.7627,1
19,佛山,23.0208,113.1224,1
20,济南,36.6512,117.1201,1
